decision_id,decision,default_value,why_bucket,where_file_lines,evidence_type,evidence_artifact,verification_command,risks_if_wrong,mitigation
DEC-ARCH-01,1D-CNN-BiLSTM architecture,v1 (~499K params),Reliability,src/train.py:90-200,PAPER,REF_CNN_BILSTM_HAR,pytest tests/test_retraining.py -v,Wrong architecture → poor accuracy on HAR data,Validated with 5-fold CV
DEC-ARCH-02,11 activity classes,NUM_CLASSES=11,Reliability,src/config.py:56,PROJECT_DECISION,dataset definition,python -c "from src.config import NUM_CLASSES; assert NUM_CLASSES==11",Wrong class count → shape mismatch at output layer,Label mapping validated in data_validator
DEC-WINDOW-01,Window size,200 samples (4s @ 50Hz),Reproducibility,src/config.py:53,EMPIRICAL_CALIBRATION,reports/ABLATION_WINDOWING.csv,python -c "from src.config import WINDOW_SIZE; assert WINDOW_SIZE==200",Wrong window → shape mismatch or accuracy drop,Ablation tested 6 configs
DEC-WINDOW-02,Overlap,0.5 (50%),Reproducibility,src/config.py:54,EMPIRICAL_CALIBRATION,reports/ABLATION_WINDOWING.csv,python -c "from src.config import OVERLAP; assert OVERLAP==0.5",Lower overlap → fewer windows; higher → marginal gain + cost,Ablation tested 25% vs 50%
DEC-WINDOW-03,Normalization variant,zscore (StandardScaler),Reproducibility,src/entity/config_entity.py:129,PROJECT_DECISION,training scaler config.json,pytest tests/test_preprocessing.py -v,Wrong scaler → distribution mismatch → accuracy drop,Scaler params stored in config.json
DEC-WINDOW-04,Gravity removal,OFF (False),Reliability,src/entity/config_entity.py:119,EMPIRICAL_CALIBRATION,training analysis,grep enable_gravity_removal src/entity/config_entity.py,Removing gravity shifts distribution vs training data,Model trained WITH gravity
DEC-FREQ-01,Sampling frequency,50 Hz,Reliability,src/entity/config_entity.py:88,PAPER,REF_CNN_BILSTM_HAR,grep target_hz src/entity/config_entity.py,Too low → alias; too high → no benefit for HAR,Nyquist: max motion ~20Hz → 50Hz sufficient
DEC-VALID-01,Max acceleration,50.0 m/s²,Safety,src/entity/config_entity.py:102,PROJECT_DECISION,MPU-6050 sensor spec,pytest tests/test_data_validation.py -v,Too low → rejects valid data; too high → passes bad data,Conservative vs sensor range (±156.8 m/s²)
DEC-VALID-02,Max gyroscope,500.0 °/s,Safety,src/entity/config_entity.py:103,PROJECT_DECISION,MPU-6050 sensor spec,pytest tests/test_data_validation.py -v,Too low → rejects fast motions; too high → passes sensor faults,Conservative vs sensor range (±2000 °/s)
DEC-VALID-03,Max missing ratio,0.05 (5%),Reliability,src/entity/config_entity.py:104,EMPIRICAL_CALIBRATION,data quality analysis,pytest tests/test_data_validation.py -v,Too low → rejects normal gaps; too high → passes bad recordings,5% covers Bluetooth dropout patterns
DEC-INFER-01,Batch size (inference),32,Scalability,src/entity/config_entity.py:143,PROJECT_DECISION,memory profiling,grep batch_size src/entity/config_entity.py,Too large → OOM; too small → slow throughput,Fits in 4GB RAM
DEC-INFER-02,Confidence threshold,0.50,Reliability,src/entity/config_entity.py:144,PROJECT_DECISION,uniform prior analysis,grep confidence_threshold src/entity/config_entity.py,Too low → noise passes; too high → drops valid predictions,5.5× random (1/11 ≈ 0.09)
DEC-MON-01,Confidence warn threshold,0.60,Observability,src/entity/config_entity.py:178,EMPIRICAL_CALIBRATION,reports/THRESHOLD_CALIBRATION.csv,pytest tests/test_threshold_consistency.py -v,Too low → late warning; too high → false alarms,Calibrated across 52 threshold combos
DEC-MON-02,Uncertain pct threshold,30%,Observability,src/entity/config_entity.py:179,EMPIRICAL_CALIBRATION,reports/THRESHOLD_CALIBRATION.csv,pytest tests/test_threshold_consistency.py -v,Too low → false alarm on noisy sessions; too high → misses systemic issues,30% distinguishes noise from systemic
DEC-MON-03,Drift z-score threshold,2.0,Observability,src/entity/config_entity.py:183,EMPIRICAL_CALIBRATION,reports/THRESHOLD_CALIBRATION.csv,pytest tests/test_drift_detection.py -v,Too low → false drift alarms; too high → misses real drift,2.0σ ≈ 95th percentile
DEC-MON-04,Transition rate threshold,50%,Observability,src/entity/config_entity.py:181,EMPIRICAL_CALIBRATION,reports/THRESHOLD_CALIBRATION.csv,pytest tests/test_temporal_metrics.py -v,Too low → flags normal activity transitions; too high → misses instability,50% = random relabeling boundary
